[1/8/2016 3:11:25] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[2/8/2016 6:1:19] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[2/8/2016 16:7:55] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[2/8/2016 16:25:11] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[6/8/2016 15:54:35] (Error - void ServicePort::open(IPAddressList, uint16_t)) NETWORK: bind: Address already in use
[21/1/2022 21:24:29] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: O endereço solicitado não é válido no contexto
[26/1/2022 7:42:25] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 7:50:15] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 9:5:40] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 9:31:13] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 9:35:1] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 11:50:45] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 15:17:45] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[26/1/2022 16:20:54] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[27/1/2022 6:3:41] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[27/1/2022 15:30:48] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[27/1/2022 15:35:35] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[27/1/2022 15:36:47] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[27/1/2022 15:47:37] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[27/1/2022 20:17:24] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[28/1/2022 21:30:6] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[29/1/2022 15:33:32] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[29/1/2022 16:25:35] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[29/1/2022 16:29:58] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[29/1/2022 16:31:20] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[29/1/2022 16:32:42] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
[29/1/2022 16:35:12] (Error - ?open@ServicePort@@QAEXV?$vector@Vaddress@ip@asio@boost@@V?$allocator@Vaddress@ip@asio@boost@@@std@@@std@@G@Z) NETWORK: bind: The requested address is not valid in its context
